speciescode,speciesname,sub_unit,levelReport,season_selected,keywintering,annex_i,annex_ii_partA,annex_ii_partB,distribution_surface_area,population_minimum_size_raw,population_maximum_size_raw,population_minimum_size,population_maximum_size,population_size_unit,population_trend,population_trend_long,red_list_cat,conclusion_status_label,contribution_target1,red_list_cat_prev,conclusion_status_label_prev,season_reported,taxOrder,taxFamily,taxGroup_en,taxFamily_en
A001,Gavia stellata,,,B,N,Y,N,N,392000,3053,4706,3000,4800,p,S,I,LC,Secure,A,LC,Secure,"B,W",Gaviiformes,Gaviidae,Loons or Divers,Loons/divers
A002,Gavia arctica,,,B,N,Y,N,N,634000,14821,19404,14800,19500,p,I,I,LC,Secure,A,LC,Secure,"B,W",Gaviiformes,Gaviidae,Loons or Divers,Loons/divers
A003,Gavia immer,,,W,Y,Y,N,N,,6902,7647,6900,7700,i,S,I,LC,Secure,A,VU,Threatened,W,Gaviiformes,Gaviidae,Loons or Divers,Loons/divers
A004,Tachybaptus ruficollis,,,B,N,N,N,N,1370000,71777,125351,71700,126000,p,S,S,LC,Secure,A,LC,Secure,"B,W",Podicipediformes,Podicipedidae,Grebes,Grebes
A005,Podiceps cristatus,,,B,N,N,N,N,1310000,183506,262947,183000,263000,p,D,D,LC,Secure,A,LC,Secure,"B,W",Podicipediformes,Podicipedidae,Grebes,Grebes
A006,Podiceps grisegena,,,B,N,N,N,N,342000,7692,12022,7600,12100,p,D,D,VU A2bcde+3bcde+4bcde,Threatened,C,LC,Secure,B,Podicipediformes,Podicipedidae,Grebes,Grebes
A007,Podiceps auritus,,,B,N,Y,N,N,453000,4481,5692,4400,5700,p,D,D,VU C1,Threatened,C,VU,Threatened,"B,W",Podicipediformes,Podicipedidae,Grebes,Grebes
A008,Podiceps nigricollis,,,B,N,N,N,N,106000,8643,14669,8600,14700,p,D,D,LC,Secure,A,LC,Secure,"B,W",Podicipediformes,Podicipedidae,Grebes,Grebes
A009,Fulmarus glacialis,,,B,N,N,N,N,70800,228888,714869,228000,715000,p,D,D,EN A4abcde,Threatened,C,VU,Threatened,B,Procellariiformes,Procellariidae,"Petrels, Storm-petrels and Shearwaters",Petrels and shearwaters
A013,Puffinus puffinus,,,B,N,N,N,N,4700,315861,358748,315000,359000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Procellariiformes,Procellariidae,"Petrels, Storm-petrels and Shearwaters",Petrels and shearwaters
A014,Hydrobates pelagicus,,,B,N,Y,N,N,25800,135067,153647,135000,154000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Procellariiformes,Hydrobatidae,"Petrels, Storm-petrels and Shearwaters",Northern storm-petrels
A016,Morus bassanus,,,B,N,N,N,N,2600,360711,360912,360000,361000,p,I,I,LC,Secure,A,LC,Secure,B,Suliformes,Sulidae,Gannets and Cormorants,Gannets
A017,Phalacrocorax carbo,,,B,N,N,N,N,437000,222265,266176,222000,267000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Suliformes,Phalacrocoracidae,Gannets and Cormorants,Cormorants
A018,Phalacrocorax aristotelis,,Species-level,B,N,N,N,N,143000,35404,44338,35400,44400,p,S,D,LC,Depleted,B,NT,Near Threatened,"B,W",Suliformes,Phalacrocoracidae,Gannets and Cormorants,Cormorants
A019,Pelecanus onocrotalus,,,B,N,Y,N,N,800,4713,5731,4700,5800,p,I,S,LC,Secure,A,LC,Secure,"B,W",Pelecaniformes,Pelecanidae,"Herons, Pelicans, Ibises and Spoonbills",Pelicans
A020,Pelecanus crispus,,,B,N,Y,N,N,4600,2268,2670,2200,2700,p,I,I,LC,Secure,A,LC,Secure,"B,W",Pelecaniformes,Pelecanidae,"Herons, Pelicans, Ibises and Spoonbills",Pelicans
A021,Botaurus stellaris,,,B,N,Y,N,N,391000,11242,19048,11200,19100,cmales,S,U,LC,Secure,A,LC,Secure,"B,W",Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A022,Ixobrychus minutus,,,B,N,Y,N,N,260000,20754,36457,20700,36500,p,Unk,S,LC,Unknown,E,LC,Unknown,B,Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A023,Nycticorax nycticorax,,,B,N,Y,N,N,151000,25975,36004,25900,36100,p,S,S,LC,Secure,A,LC,Secure,B,Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A024,Ardeola ralloides,,,B,N,Y,N,N,56600,6369,10545,6300,10600,p,D,I,LC,Secure,A,LC,Secure,B,Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A025,Bubulcus ibis,,,B,N,N,N,N,129000,64378,77673,64300,77700,p,I,I,LC,Secure,A,LC,Secure,B,Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A026,Egretta garzetta,,,B,N,Y,N,N,230000,39194,47910,39100,48000,p,D,I,LC,Secure,A,LC,Secure,"B,W",Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A028,Ardea cinerea,,,B,N,N,N,N,1230000,127950,149925,127000,150000,p,D,I,LC,Secure,A,LC,Secure,B,Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A029,Ardea purpurea,,,B,N,Y,N,N,125000,10791,12705,10700,12800,p,D,I,LC,Secure,A,LC,Secure,B,Pelecaniformes,Ardeidae,"Herons, Pelicans, Ibises and Spoonbills",Herons
A030,Ciconia nigra,,,B,N,Y,N,N,450000,5896,8421,5800,8500,p,D,I,LC,Secure,A,LC,Secure,B,Ciconiiformes,Ciconiidae,Storks and Flamingo,Storks
A031,Ciconia ciconia,,,B,N,Y,N,N,1010000,156967,167260,156000,168000,p,I,I,LC,Secure,A,LC,Secure,B,Ciconiiformes,Ciconiidae,Storks and Flamingo,Storks
A032,Plegadis falcinellus,,,B,N,Y,N,N,14200,11212,31903,11200,32000,p,I,I,LC,Secure,A,LC,Secure,B,Pelecaniformes,Threskiornithidae,"Herons, Pelicans, Ibises and Spoonbills",Ibises and spoonbills
A034,Platalea leucorodia,,,B,N,Y,N,N,38500,8443,11908,8400,12000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Pelecaniformes,Threskiornithidae,"Herons, Pelicans, Ibises and Spoonbills",Ibises and spoonbills
A036,Cygnus olor,,,B,N,N,N,Y,1160000,66125,93524,66100,93600,p,S,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A037,Cygnus columbianus bewickii,,,W,Y,Y,N,N,,17203,24066,17200,24100,i,D,S,VU A4abcde,Threatened,C,VU,Threatened,W,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A038,Cygnus cygnus,,,B,N,Y,N,N,807000,16896,23664,16800,23700,p,I,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A039,Anser fabalis,,Species-level,B,N,N,Y,N,102000,1260,3100,1200,3100,p,D,Unk,VU C1+2a(ii),Threatened,C,LC,Unknown,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A040,Anser brachyrhynchus,,Species-level,W,Y,N,N,Y,,555020,565363,555000,566000,i,I,I,LC,Secure,A,LC,Secure,W,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A040-A,Anser brachyrhynchus,Svalbard/North-west Europe,Sub-population,W,Y,N,N,Y,,44885,55228,44800,55300,i,D,I,LC,Secure,A,LC,Secure,W,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A040-B,Anser brachyrhynchus,East Greenland & Iceland/UK,Sub-population,W,Y,N,N,Y,,510135,510135,510000,511000,i,I,I,LC,Secure,A,LC,Secure,W,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A041,Anser albifrons,,Species-level,W,Y,N,N,Y,,1575942,2341665,1570000,2350000,i,S,I,LC,Secure,A,LC,Secure,W,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A042,Anser erythropus,,,B,N,Y,N,N,2500,15,30,15,30,p,S,D,CR D,Threatened,B,CR,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A043,Anser anser,,,B,N,N,Y,N,817000,223267,320783,223000,321000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A044-X,Branta canadensis,,,B,N,N,Y,N,789000,91361,108441,91300,109000,p,,,N/A,Not Evaluated,,NE,Not Evaluated,B,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A045,Branta leucopsis,,,B,N,Y,N,N,91800,29743,38815,29700,38900,p,I,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A046,Branta bernicla,,,W,Y,N,N,Y,,298201,336245,298000,337000,i,S,I,LC,Secure,A,LC,Secure,W,Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A048,Tadorna tadorna,,,B,N,N,N,N,460000,34351,45776,34300,45800,p,S,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A052,Anas crecca,,,B,N,N,Y,N,1160000,234733,366562,234000,367000,p,D,D,LC,Declining,C,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A053,Anas platyrhynchos,,,B,N,N,Y,N,3130000,1856754,3014916,1850000,3020000,p,S,S,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A054,Anas acuta,,,B,N,N,Y,N,205000,4568,18767,4500,18800,p,D,D,EN A2bcde+A3bcde+A4bcde,Threatened,C,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A057,Marmaronetta angustirostris,,,B,N,Y,N,N,6200,73,78,70,80,p,S,D,EN D,Threatened,B,CR,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A058,Netta rufina,,,B,N,N,N,Y,124000,11618,15497,11600,15500,p,I,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A059,Aythya ferina,,,B,N,N,Y,N,383000,46170,71349,46100,71400,p,D,D,VU A2abcde+3bcde+4abcde,Threatened,C,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A060,Aythya nyroca,,,B,N,Y,N,N,42600,14107,22667,14100,22700,p,Unk,Unk,LC,Unknown,E,LC,Unknown,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A061,Aythya fuligula,,,B,N,N,Y,N,1260000,166899,287417,166000,288000,p,D,D,VU A2bcde+3bcde+4bcde,Threatened,C,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A062,Aythya marila,,,B,N,N,N,Y,88800,1076,1463,1000,1500,p,D,D,EN A2bcde+3bcde+4bcde; C1,Threatened,C,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A063,Somateria mollissima,,,B,N,N,N,Y,169000,176785,295974,176000,296000,p,D,D,VU A2abcde+A3abcde+A4abcde,Threatened,C,EN,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A064,Clangula hyemalis,,,W,Y,N,N,Y,,1164479,2126388,1160000,2130000,i,S,D,LC,Depleted,B,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A066,Melanitta fusca,,,B,N,N,N,Y,196000,11022,23931,11000,24000,p,D,D,VU A2abcde,Threatened,C,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A067,Bucephala clangula,,,B,N,N,N,Y,913000,187108,240458,187000,241000,p,D,S,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A069,Mergus serrator,,,B,N,N,N,Y,561000,44683,73815,44600,73900,p,D,S,NT A2bcde+3bcde+4bcde,Near Threatened,C,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A070,Mergus merganser,,,B,N,N,N,Y,893000,62928,104063,62900,105000,p,I,S,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A071,Oxyura leucocephala,,,B,N,Y,N,N,8700,257,308,250,310,p,S,I,VU D1,Threatened,C,VU,Threatened,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A072,Pernis apivorus,,,B,N,Y,N,N,1640000,38867,61499,38800,61500,p,S,S,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A073,Milvus migrans,,,B,N,Y,N,N,942000,51321,63451,51300,63500,p,I,I,LC,Secure,A,LC,Secure,"B,W",Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A074,Milvus milvus,,,B,N,Y,N,N,729000,29746,34751,29700,34800,p,I,I,LC,Secure,A,NT,Near Threatened,"B,W",Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A075,Haliaeetus albicilla,,,B,N,Y,N,N,633000,4822,6232,4800,6300,p,I,I,LC,Secure,A,LC,Secure,"B,W",Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A076,Gypaetus barbatus,,,B,N,Y,N,N,33600,226,250,220,250,p,I,I,VU D1,Threatened,B,VU,Threatened,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A077,Neophron percnopterus,,,B,N,Y,N,N,111000,1731,1867,1700,1900,p,D,D,VU C1,Threatened,C,VU,Threatened,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A078,Gyps fulvus,,,B,N,Y,N,N,226000,33707,41890,33700,41900,p,I,I,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A079,Aegypius monachus,,,B,N,Y,N,N,26200,2639,2657,2600,2700,p,I,I,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A080,Circaetus gallicus,,,B,N,Y,N,N,661000,6344,9205,6300,9300,p,I,I,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A081,Circus aeruginosus,,,B,N,Y,N,N,1090000,43902,65639,43900,65700,bfemales,S,I,LC,Secure,A,LC,Secure,"B,W",Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A082,Circus cyaneus,,,B,N,Y,N,N,544000,10574,15115,10500,15200,bfemales,D,Unk,VU A2bcd+3bcd+4bcd,Threatened,C,LC,Secure,"B,W",Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A083,Circus macrourus,,,B,N,Y,N,N,1500,10,50,10,50,p,I,I,EN° D1,Threatened,B,EN°,Threatened,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A084,Circus pygargus,,,B,N,Y,N,N,445000,14288,20124,14200,20200,bfemales,D,Unk,VU A2bc+3bc+4bc,Threatened,C,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A085,Accipiter gentilis,,Species-level,B,N,N,N,N,1899900,56533,95468,56500,95500,p,D,D,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A086,Accipiter nisus,,Species-level,B,N,N,N,N,2765700,198637,341736,198000,342000,p,S,I,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A087,Buteo buteo,,,B,N,N,N,N,3290000,551886,806005,551000,807000,p,S,I,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A088,Buteo lagopus,,,B,N,N,N,N,313000,1800,8200,1800,8200,p,D,D,VU A2bcd+A3bcd+A4bcd; C1,Threatened,C,EN,Threatened,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A091,Aquila chrysaetos,,,B,N,Y,N,N,777000,5150,6082,5100,6100,p,S,I,LC,Secure,A,LC,Secure,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A092,Hieraaetus pennatus,,,B,N,Y,N,N,358000,20330,23891,20300,23900,p,I,S,LC,Secure,A,LC,Secure,"B,W",Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A094,Pandion haliaetus,,,B,N,Y,N,N,639000,6095,7706,6000,7800,p,S,I,LC,Secure,A,LC,Secure,"B,W",Accipitriformes,Pandionidae,Hawks and Eagles,Osprey
A095,Falco naumanni,,,B,N,Y,N,N,260000,29049,32412,29000,32500,p,S,I,LC,Secure,A,LC,Secure,B,Falconiformes,Falconidae,Falcons,Falcons
A096,Falco tinnunculus,,,B,N,N,N,N,3160000,308890,476556,308000,477000,p,D,D,LC,Secure,A,LC,Secure,"B,W",Falconiformes,Falconidae,Falcons,Falcons
A097,Falco vespertinus,,,B,N,Y,N,N,19000,2501,3963,2500,4000,p,D,D,VU C1,Threatened,C,VU,Threatened,B,Falconiformes,Falconidae,Falcons,Falcons
A098,Falco columbarius,,,B,N,Y,N,N,400000,6730,14325,6700,14400,p,D,S,VU A2bc+3bc+4bc,Threatened,C,LC,Secure,"B,W",Falconiformes,Falconidae,Falcons,Falcons
A099,Falco subbuteo,,,B,N,N,N,N,1770000,40647,74261,40600,74300,p,S,I,LC,Secure,A,LC,Secure,B,Falconiformes,Falconidae,Falcons,Falcons
A100,Falco eleonorae,,,B,N,Y,N,N,42900,14197,14353,14100,14400,p,S,Unk,LC,Secure,A,LC,Unknown,B,Falconiformes,Falconidae,Falcons,Falcons
A101,Falco biarmicus,,,B,N,Y,N,N,82600,140,163,140,170,p,D,S,EN C1,Threatened,C,VU,Threatened,B,Falconiformes,Falconidae,Falcons,Falcons
A102,Falco rusticolus,,,B,N,Y,N,N,99600,96,127,90,130,p,D,D,EN C1+C2a(i),Threatened,C,VU,Threatened,B,Falconiformes,Falconidae,Falcons,Falcons
A103,Falco peregrinus,[including pelegrinoides],,B,N,Y,N,N,1380000,10999,12754,10900,12800,p,I,I,LC,Secure,A,LC,Secure,"B,W",Falconiformes,Falconidae,Falcons,Falcons
A104,Bonasa bonasia,,,B,N,Y,N,Y,921000,548364,926425,548000,927000,p,D,D,VU A2bcd+3bcd+4bcd,Threatened,C,LC,Secure,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A105,Lagopus lagopus,,Species-level,B,N,N,N,N,471000,374861,761711,374000,762000,p,S,D,LC,Depleted,B,VU,Threatened,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A108,Tetrao urogallus,,,B,N,Y,N,Y,790000,468591.3333,1161727.5,468000,1170000,cmales,S,D,LC,Depleted,B,LC,Depleted,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A109,Alectoris graeca,,Species-level,B,N,Y,Y,N,199000,25585,37661,25500,37700,p,Unk,D,NT A2bcd+3bcd+4bcd,Near Threatened,C,VU,Threatened,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A110,Alectoris rufa,,,B,N,N,Y,N,708000,4975443,6846209,4970000,6850000,p,D,D,NT A2bcde+3bcde+4bcde,Near Threatened,C,LC,Declining,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A111,Alectoris barbara,,,B,N,Y,N,Y,34300,7751,20500,7700,20500,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A112,Perdix perdix,,Species-level,B,N,N,Y,N,1290000,767965,1311135,767000,1320000,p,D,D,VU A2bcde+3bcde+4bcde,Threatened,C,LC,Declining,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A113,Coturnix coturnix,,,B,N,N,N,Y,1690000,1133306,2480750,1130000,2490000,cmales,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A115,Phasianus colchicus,,,B,N,N,Y,N,3,50,100,50,100,p,S,Unk,EN D,Threatened,C,LC,Secure,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A115-X,Phasianus colchicus,non-native populations,,B,N,N,Y,N,1750000,2507302,3470806,2500000,3480000,p,S,S,N/A,Secure,A,LC,Secure,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A118,Rallus aquaticus,,,B,N,N,N,Y,901000,84128,196859,84100,197000,p,Unk,U,LC,Unknown,E,LC,Unknown,B,Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
