speciescode,speciesname,sub_unit,levelReport,season_selected,keywintering,annex_i,annex_ii_partA,annex_ii_partB,distribution_surface_area,population_minimum_size_raw,population_maximum_size_raw,population_minimum_size,population_maximum_size,population_size_unit,population_trend,population_trend_long,red_list_cat,conclusion_status_label,contribution_target1,red_list_cat_prev,conclusion_status_label_prev,season_reported,taxOrder,taxFamily,taxGroup_en,taxFamily_en
A236,Dryocopus martius,,,B,N,Y,N,N,1950000,193715,296065,193000,297000,p,S,I,LC,Secure,A,LC,Secure,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A237,Dendrocopos major,,Species-level,B,N,N,N,N,3200000,4543196,6972243,4540000,6980000,p,I,I,LC,Secure,A,LC,Secure,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A239,Dendrocopos leucotos,,,B,N,Y,N,N,254000,28343,67377,28300,67400,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A241,Picoides tridactylus,,,B,N,Y,N,N,541000,41759,76052,41700,76100,p,D,I,LC,Secure,A,LC,Secure,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A242,Melanocorypha calandra,,,B,N,Y,N,N,288000,4238493,6795163,4230000,6800000,p,S,D,LC,Depleted,B,VU,Threatened,B,Passeriformes,Alaudidae,Passerines,Larks
A243,Calandrella brachydactyla,,,B,N,Y,N,N,298000,1094903,1702287,1090000,1710000,p,I,S,LC,Secure,A,LC,Depleted,B,Passeriformes,Alaudidae,Passerines,Larks
A244,Galerida cristata,,,B,N,N,N,N,1090000,14692559,18496591,14600000,18500000,p,D,D,LC,Declining,C,LC,Declining,B,Passeriformes,Alaudidae,Passerines,Larks
A245,Galerida theklae,,,B,N,Y,N,N,193000,1750590,2842088,1750000,2850000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Passeriformes,Alaudidae,Passerines,Larks
A246,Lullula arborea,,,B,N,Y,N,N,1760000,1585665,3030911,1580000,3040000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Alaudidae,Passerines,Larks
A247,Alauda arvensis,,,B,N,N,N,Y,3040000,23398921,31696604,23300000,31700000,p,D,D,LC,Declining,C,LC,Declining,"B,W",Passeriformes,Alaudidae,Passerines,Larks
A248,Eremophila alpestris,,,B,N,N,N,N,15500,2252,3950,2200,4000,p,D,D,NT C1,Near Threatened,C,NT,Near Threatened,B,Passeriformes,Alaudidae,Passerines,Larks
A249,Riparia riparia,,,B,N,N,N,N,1460000,1169226,2599653.667,1160000,2600000,p,S,D,LC,Depleted,B,LC,Depleted,B,Passeriformes,Hirundinidae,Passerines,Swallows and martins
A250,Ptyonoprogne rupestris,,,B,N,N,N,N,735000,131848,243088,131000,244000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Hirundinidae,Passerines,Swallows and martins
A251,Hirundo rustica,,,B,N,N,N,N,3680000,18166309.5,27458540.67,18100000,27500000,p,D,D,LC,Declining,C,LC,Declining,B,Passeriformes,Hirundinidae,Passerines,Swallows and martins
A255,Anthus campestris,,,B,N,Y,N,N,8060000,550046,985052,550000,986000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A256,Anthus trivialis,,,B,N,N,N,N,2620000,6907570,11614310,6900000,11700000,p,S,D,LC,Depleted,B,LC,Declining,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A257,Anthus pratensis,,,B,N,N,N,N,1620000,4946460.667,7223169,4940000,7230000,p,S,D,LC,Depleted,B,VU,Threatened,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A258,Anthus cervinus,,,B,N,N,N,N,7200,880,1800,880,1800,p,D,D,EN C1,Threatened,C,LC,Unknown,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A259,Anthus spinoletta,,,B,N,N,N,N,187000,383060,717120,383000,718000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A260,Motacilla flava,[excluding tschutschensis],,B,N,N,N,N,2060000,4957783,7536948,4950000,7540000,p,S,D,LC,Depleted,B,LC,Secure,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A261,Motacilla cinerea,,,B,N,N,N,N,2150000,906010,1787458,906000,1790000,p,S,Unk,LC,Secure,A,LC,Unknown,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A262,Motacilla alba,,,B,N,N,N,N,3610000,6327122.667,9576766,6320000,9580000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Motacillidae,Passerines,Wagtails and pipits
A263,Bombycilla garrulus,,,B,N,N,N,N,372000,150143,264140,150000,265000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Bombycillidae,Passerines,Waxwings
A264,Cinclus cinclus,,,B,N,N,N,N,1220000,80895,154699,80800,155000,p,Unk,S,LC,Unknown,E,LC,Secure,B,Passeriformes,Cinclidae,Passerines,Dippers
A265,Troglodytes troglodytes,,Species-level,B,N,N,N,N,3300000,29709934,48352544,29700000,48400000,p,I,S,LC,Secure,A,LC,Secure,B,Passeriformes,Troglodytidae,Passerines,Wrens
A266,Prunella modularis,,,B,N,N,N,N,2460000,9417347,15300674,9410000,15400000,p,D,D,LC,Secure,A,LC,Secure,B,Passeriformes,Prunellidae,Passerines,Accentors
A267,Prunella collaris,,,B,N,N,N,N,133000,48436,84010,48400,84100,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Prunellidae,Passerines,Accentors
A268,Cercotrichas galactotes,,,B,N,N,N,N,176000,102321,271919,102000,272000,p,D,D,LC,Declining,C,LC,Declining,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A269,Erithacus rubecula,,,B,N,N,N,N,3510000,36459977,54799051,36400000,54800000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A270,Luscinia luscinia,,,B,N,N,N,N,537000,447411,697534,447000,698000,p,D,D,VU A2bc+3bc+4bc,Threatened,C,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A271,Luscinia megarhynchos,,,B,N,N,N,N,1800000,8750793,12688100,8750000,12700000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A273,Phoenicurus ochruros,,,B,N,N,N,N,2040000,4368169,6936456,4360000,6940000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A274,Phoenicurus phoenicurus,,,B,N,N,N,N,2270000,2211488,3910207,2210000,3920000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A275,Saxicola rubetra,,,B,N,N,N,N,1530000,1956495,3014060,1950000,3020000,p,D,D,VU A2bc+3bc+4bc,Threatened,C,LC,Declining,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A276,Saxicola torquatus,,,B,N,N,N,N,2130000,4899595,7498567.333,4890000,7500000,p,D,S,LC,Secure,A,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A277,Oenanthe oenanthe,[excluding seebohmi],,B,N,N,N,N,1870000,1880015.5,3678172,1880000,3680000,p,D,D,NT A2bcde+3bcde+4bcde,Near Threatened,C,LC,Unknown,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A278,Oenanthe hispanica,,,B,N,N,N,N,371000,451300,1185500,451000,1190000,p,D,D,LC,Declining,C,LC,Declining,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A279,Oenanthe leucura,,,B,N,Y,N,N,49600,4050,16100,4000,16100,p,S,D,LC,Depleted,B,VU,Threatened,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A280,Monticola saxatilis,,,B,N,N,N,N,191000,21364,38215,21300,38300,p,Unk,S,LC,Unknown,E,LC,Unknown,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A281,Monticola solitarius,,,B,N,N,N,N,434000,43329,89270,43300,89300,p,S,S,LC,Secure,A,LC,Unknown,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A282,Turdus torquatus,,,B,N,N,N,N,310000,135950,209434,135000,210000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Turdidae,Passerines,Thrushes
A283,Turdus merula,,,B,N,N,N,Y,3790000,47867670.66667,71362952,47800000,71400000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Turdidae,Passerines,Thrushes
A284,Turdus pilaris,,,B,N,N,N,Y,1480000,3418423,5149897,3410000,5150000,p,S,S,LC,Secure,A,VU,Threatened,B,Passeriformes,Turdidae,Passerines,Thrushes
A285,Turdus philomelos,,,B,N,N,N,Y,3100000,12207950,20424156,12200000,20500000,p,I,S,LC,Secure,A,LC,Secure,B,Passeriformes,Turdidae,Passerines,Thrushes
A286,Turdus iliacus,,,B,N,N,N,Y,898000,1963811,2363167,1960000,2370000,p,D,D,LC,Declining,C,VU,Threatened,B,Passeriformes,Turdidae,Passerines,Thrushes
A287,Turdus viscivorus,,,B,N,N,N,Y,3780000,2320989.33333,4366500,2320000,4370000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Turdidae,Passerines,Thrushes
A288,Cettia cetti,,,B,N,N,N,N,749000,1794418,2707358,1790000,2710000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Scotocercidae,Passerines,Warblers
A289,Cisticola juncidis,,,B,N,N,N,N,744000,1136336,1829420,1130000,1830000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Cisticolidae,Passerines,Cisticolas
A290,Locustella naevia,,,B,N,N,N,N,1140000,318470,563410,318000,564000,p,D,D,VU A2bc+3bc+4bc,Threatened,C,LC,Secure,B,Passeriformes,Locustellidae,Passerines,Warblers
A291,Locustella fluviatilis,,,B,N,N,N,N,469000,153725,287647,153000,288000,p,D,D,VU A2bc+3bc+4bc,Threatened,C,VU,Threatened,B,Passeriformes,Locustellidae,Passerines,Warblers
A292,Locustella luscinioides,,,B,N,N,N,N,314000,142308,224985,142000,225000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Locustellidae,Passerines,Warblers
A293,Acrocephalus melanopogon,,,B,N,Y,N,N,25900,8534,15143,8500,15200,p,S,D,LC,Depleted,B,LC,Unknown,"B,W",Passeriformes,Acrocephalidae,Passerines,Warblers
A294,Acrocephalus paludicola,,,B,N,Y,N,N,4100,3250,4743,3200,4800,cmales,I,Unk,NT C2a(ii),Near Threatened,B,VU,Threatened,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A295,Acrocephalus schoenobaenus,,,B,N,N,N,N,1360000,1432144,2152506,1430000,2160000,p,D,D,LC,Secure,A,LC,Secure,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A296,Acrocephalus palustris,,,B,N,N,N,N,1380000,1909097,2870249,1900000,2880000,p,D,D,LC,Declining,C,LC,Secure,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A297,Acrocephalus scirpaceus,,,B,N,N,N,N,1430000,1418435,2416531,1410000,2420000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A298,Acrocephalus arundinaceus,,,B,N,N,N,N,744000,775926,1262398,775000,1270000,p,D,D,LC,Declining,C,LC,Secure,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A299,Hippolais icterina,,,B,N,N,N,N,1130000,1037193,1515541,1030000,1520000,p,S,D,LC,Secure,A,LC,Unknown,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A300,Hippolais polyglotta,,,B,N,N,N,N,867000,2139030,3532650,2130000,3540000,p,I,S,LC,Secure,A,LC,Secure,B,Passeriformes,Acrocephalidae,Passerines,Warblers
A302,Sylvia undata,,,B,N,Y,N,N,356000,597718,1429566,597000,1430000,p,D,D,NT A2bc+3bc+4bc,Near Threatened,C,NT,Near Threatened,B,Passeriformes,Sylviidae,Passerines,Warblers
A303,Sylvia conspicillata,,,B,N,N,N,N,128000,163366,444162,163000,445000,p,S,S,LC,Secure,A,LC,Unknown,B,Passeriformes,Sylviidae,Passerines,Warblers
A304,Sylvia cantillans,[excluding subalpina],,B,N,N,N,N,556000,3491258,5221584,3490000,5230000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Sylviidae,Passerines,Warblers
A305,Sylvia melanocephala,,,B,N,N,N,N,813000,6925724,13629201,6920000,13700000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Sylviidae,Passerines,Warblers
A307,Sylvia nisoria,,,B,N,Y,N,N,360000,157024,227773,157000,228000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Sylviidae,Passerines,Warblers
A309,Sylvia communis,,,B,N,N,N,N,2680000,9178529,14632502,9170000,14700000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Sylviidae,Passerines,Warblers
A310,Sylvia borin,,,B,N,N,N,N,2230000,4810986,8169237,4810000,8170000,p,D,D,LC,Declining,C,LC,Secure,B,Passeriformes,Sylviidae,Passerines,Warblers
A311,Sylvia atricapilla,,,B,N,N,N,N,3360000,32824289,51052394,32800000,51100000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Sylviidae,Passerines,Warblers
A314,Phylloscopus sibilatrix,,,B,N,N,N,N,1780000,3060301,4587368,3060000,4590000,p,D,D,LC,Declining,C,LC,Depleted,B,Passeriformes,Phylloscopidae,Passerines,Warblers
A316,Phylloscopus trochilus,,,B,N,N,N,N,2280000,24678745,41439025,24600000,41500000,p,S,D,LC,Depleted,B,LC,Declining,B,Passeriformes,Phylloscopidae,Passerines,Warblers
A317,Regulus regulus,,,B,N,N,N,N,2340000,10620328,17031464,10600000,17100000,p,S,D,LC,Depleted,B,NT,Near Threatened,B,Passeriformes,Regulidae,Passerines,Goldcrests
A318,Regulus ignicapilla,,,B,N,N,N,N,1530000,4441740,7778190,4440000,7780000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Regulidae,Passerines,Goldcrests
A319,Muscicapa striata,,,B,N,N,N,N,2880000,4296181,8048964,4290000,8050000,p,S,D,LC,Depleted,B,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A320,Ficedula parva,,,B,N,Y,N,N,497000,217259,539450,217000,540000,p,Unk,Unk,LC,Unknown,E,LC,Secure,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A321,Ficedula albicollis,,,B,N,Y,N,N,405000,843300,2129510,843000,2130000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A322,Ficedula hypoleuca,,,B,N,N,N,N,1460000,2220195,3071780,2220000,3080000,p,D,D,LC,Declining,C,LC,Depleted,B,Passeriformes,Muscicapidae,Passerines,Chats and flycatchers
A323,Panurus biarmicus,,,B,N,N,N,N,200000,104923,163215,104000,164000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Panuridae,Passerines,Parrotbills
A324,Aegithalos caudatus,,,B,N,N,N,N,2920000,5869695,9309914,5860000,9310000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Aegithalidae,Passerines,Long-tailed tits
A330,Parus major,,,B,N,N,N,N,4090000,45292794,69255761,45200000,69300000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Paridae,Passerines,Tits
A331,Sitta whiteheadi,,,B,N,Y,N,N,2400,1500,2200,1500,2200,p,D,D,VU C2a(ii),Threatened,C,VU,Threatened,B,Passeriformes,Sittidae,Passerines,Nuthatches and wallcreeper
A332,Sitta europaea,,,B,N,N,N,N,2710000,6770218,12587806,6770000,12600000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Sittidae,Passerines,Nuthatches and wallcreeper
A333,Tichodroma muraria,,,B,N,N,N,N,76700,5608,11610,5600,11700,p,Unk,S,LC,Unknown,E,LC,Unknown,B,Passeriformes,Sittidae,Passerines,Nuthatches and wallcreeper
A334,Certhia familiaris,,,B,N,N,N,N,2040000,3597048,6050042,3590000,6060000,p,I,D,LC,Secure,A,LC,Secure,B,Passeriformes,Certhiidae,Passerines,Treecreepers
A335,Certhia brachydactyla,,Species-level,B,N,N,N,N,1730000,4779941,7693941,4770000,7700000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Certhiidae,Passerines,Treecreepers
A336,Remiz pendulinus,,,B,N,N,N,N,397000,110298,180463,110000,181000,p,Unk,D,LC,Unknown,E,LC,Unknown,B,Passeriformes,Remizidae,Passerines,Penduline-tits
A337,Oriolus oriolus,,,B,N,N,N,N,1780000,1977492,3052209,1970000,3060000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Oriolidae,Passerines,Orioles
A338,Lanius collurio,,,B,N,Y,N,N,2600000,3783746,6984834,3780000,6990000,p,I,S,LC,Secure,A,LC,Secure,B,Passeriformes,Laniidae,Passerines,Shrikes
A339,Lanius minor,,,B,N,Y,N,N,486000,82866,166531,82800,167000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Laniidae,Passerines,Shrikes
A340,Lanius excubitor,"[excluding meridionalis, but including koenigi]",,B,N,N,N,N,576000,54520,121470,54500,122000,p,D,Unk,VU A2bc+3bc+4bc,Threatened,C,VU,Threatened,B,Passeriformes,Laniidae,Passerines,Shrikes
A341,Lanius senator,,,B,N,N,N,N,597000,1890028,2980054,1890000,2990000,p,D,D,NT A2bcde+3bcde+4bcde,Near Threatened,C,LC,Declining,B,Passeriformes,Laniidae,Passerines,Shrikes
A342,Garrulus glandarius,,,B,N,N,N,Y,3220000,4130914,7075974,4130000,7080000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Corvidae,Passerines,Crows and jays
A343,Pica pica,,,B,N,N,N,Y,3540000,6908036,10722727.33,6900000,10800000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Corvidae,Passerines,Crows and jays
A344,Nucifraga caryocatactes,,,B,N,N,N,N,658000,133332,283923,133000,284000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Corvidae,Passerines,Crows and jays
A345,Pyrrhocorax graculus,,,B,N,N,N,N,143000,41750,84600,41700,84600,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Corvidae,Passerines,Crows and jays
A346,Pyrrhocorax pyrrhocorax,,,B,N,Y,N,N,260000,22615,25715,22600,25800,p,I,I,LC,Secure,A,LC,Unknown,"B,W",Passeriformes,Corvidae,Passerines,Crows and jays
A347,Corvus monedula,,,B,N,N,N,Y,2300000,5444929,9454410.333,5440000,9460000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Corvidae,Passerines,Crows and jays
A348,Corvus frugilegus,,,B,N,N,N,Y,822000,2776858,5329344.333,2770000,5330000,p,D,D,LC,Declining,C,LC,Secure,B,Passeriformes,Corvidae,Passerines,Crows and jays
A349,Corvus corone,[including cornix],,B,N,N,N,Y,3700000,5225662.5,8022073.5,5220000,8030000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Corvidae,Passerines,Crows and jays
A350,Corvus corax,,,B,N,N,N,N,3040000,291577,553511.3333,291000,554000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Corvidae,Passerines,Crows and jays
A351,Sturnus vulgaris,,,B,N,N,N,Y,3050000,18275550.5,31858707.67,18200000,31900000,p,D,D,LC,Declining,C,LC,Secure,B,Passeriformes,Sturnidae,Passerines,Starlings
A352,Sturnus unicolor,,,B,N,N,N,N,487000,23880050,30650100,23800000,30700000,p,D,I,LC°,Secure,A,LC,Secure,B,Passeriformes,Sturnidae,Passerines,Starlings
A355,Passer hispaniolensis,,,B,N,N,N,N,398000,2339250,6560836,2330000,6570000,p,I,I,LC,Secure,A,LC,Unknown,B,Passeriformes,Passeridae,Passerines,"Sparrows, snowfinches and allies"
A356,Passer montanus,,,B,N,N,N,N,2770000,11656070,18096958,11600000,18100000,p,S,D,LC,Depleted,B,LC,Declining,B,Passeriformes,Passeridae,Passerines,"Sparrows, snowfinches and allies"
A357,Petronia petronia,,,B,N,N,N,N,400000,1335223,2177772,1330000,2180000,p,I,I,LC,Secure,A,LC,Secure,B,Passeriformes,Passeridae,Passerines,"Sparrows, snowfinches and allies"
A358,Montifringilla nivalis,,,B,N,N,N,N,85700,15940,28870,15900,28900,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Passeriformes,Passeridae,Passerines,"Sparrows, snowfinches and allies"
A359,Fringilla coelebs,,Species-level,B,N,N,N,N,0,82335254.67,120807111,82300000,121000000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Fringillidae,Passerines,Finches
A360,Fringilla montifringilla,,,B,N,N,N,N,457000,2335555,4473153,2330000,4480000,p,S,D,LC,Depleted,B,VU,Threatened,B,Passeriformes,Fringillidae,Passerines,Finches
A361,Serinus serinus,,,B,N,N,N,N,1990000,16788936,25238828,16700000,25300000,p,D,D,LC,Secure,A,LC,Secure,B,Passeriformes,Fringillidae,Passerines,Finches
A363,Chloris chloris,,,B,N,N,N,N,3640000,15908768.33,22186290,15900000,22200000,p,D,S,LC,Secure,A,LC,Secure,B,Passeriformes,Fringillidae,Passerines,Finches
A364,Carduelis carduelis,,,B,N,N,N,N,3280000,23373494,33561135,23300000,33600000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Fringillidae,Passerines,Finches
A369,Loxia curvirostra,,,B,N,N,N,N,1530000,889357,2904736,889000,2910000,p,I,S,LC,Secure,A,LC,Secure,B,Passeriformes,Fringillidae,Passerines,Finches
